,report,date,transcript_source
850,63791134.0,2017-11-16,0
852,64341379.0,2018-02-14,0
853,64997158.0,2018-05-15,0
854,66355647.0,2018-12-12,0
858,66648658.0,2019-01-30,0
859,70366620.0,2020-09-09,0
860,71324955.0,2021-01-27,0
861,71337011.0,2021-01-27,0
863,72246825.0,2021-06-02,0
865,18319407.0,2011-10-27,0
866,14513926.0,2009-03-03,0
867,14517470.0,2009-03-03,0
868,18215888.0,2011-10-07,0
869,20339111.0,2012-06-08,0
870,21186558.0,2012-12-11,0
871,64509124.0,2018-03-07,0
872,73665949.0,2021-12-15,0
873,18364926.0,2011-11-03,0
874,20667088.0,2012-08-17,0
875,22325822.0,2013-08-07,0
876,25416304.0,2015-02-10,0
877,26708859.0,2015-08-06,0
878,28372900.0,2016-02-11,0
879,29933875.0,2016-08-09,0
880,71430201.0,2021-02-10,0
881,71904247.0,2021-04-19,0
882,15105682.0,2022-02-15,1
883,74118034.0,2022-02-15,0
885,16081468.0,2010-04-27,0
886,16430498.0,2010-07-27,0
887,16635160.0,2010-09-13,0
888,16796792.0,2010-10-26,0
889,17343116.0,2011-03-08,0
891,17545139.0,2011-05-03,0
893,17962803.0,2011-08-02,0
895,18345329.0,2011-11-01,0
897,18806903.0,2012-02-16,0
898,20147004.0,2012-05-01,0
899,20575068.0,2012-08-07,0
901,21458782.0,2013-02-14,0
902,21801284.0,2013-04-25,0
903,22276981.0,2013-07-30,0
905,22735683.0,2013-10-29,0
907,23271854.0,2014-02-13,0
908,23753727.0,2014-05-06,0
909,24318363.0,2014-08-07,0
910,24859928.0,2014-11-06,0
912,25539312.0,2015-02-27,0
914,25964977.0,2015-04-30,0
915,26718702.0,2015-08-06,0
916,27285277.0,2015-10-30,0
917,28443280.0,2016-02-19,0
918,29267631.0,2016-04-29,0
920,29853971.0,2016-07-29,0
921,61395200.0,2016-10-28,0
922,62088918.0,2017-02-17,0
923,62530595.0,2017-04-28,0
925,66811107.0,2019-02-22,0
927,2355726.0,2020-03-03,2
928,69472635.0,2020-05-08,0
929,70173242.0,2020-08-07,0
930,71557017.0,2021-02-26,0
932,72278507.0,2021-06-08,0
933,8716558.0,2002-10-29,0
934,8727829.0,2003-04-29,0
935,10084095.0,2005-01-27,0
936,14095836.0,2008-10-31,0
937,14096120.0,2008-10-31,0
940,15766928.0,2010-01-28,0
941,16768846.0,2010-10-19,0
942,3980201.0,2011-06-01,1
947,20081886.0,2012-04-20,0
948,20082457.0,2012-04-20,0
949,21472846.0,2013-02-15,0
950,24237152.0,2014-07-25,0
951,24483629.0,2014-09-03,0
952,25890117.0,2015-04-23,0
953,27211771.0,2015-10-22,0
955,27238613.0,2015-10-22,0
956,28192757.0,2016-01-28,0
957,29253442.0,2016-04-28,0
958,29257207.0,2016-04-28,0
959,29839259.0,2016-07-28,0
960,29842635.0,2016-07-28,0
961,61935341.0,2017-01-26,0
962,61935997.0,2017-01-26,0
963,66600810.0,2019-01-24,0
964,66601471.0,2019-01-24,0
965,68176994.0,2019-10-24,0
966,71553688.0,2021-02-25,0
969,71937356.0,2021-04-22,0
973,8910416.0,2003-10-27,0
974,8912946.0,2004-01-26,0
976,867266.0,2004-03-23,1
977,940435.0,2004-09-14,1
978,10280961.0,2005-04-26,0
979,10480976.0,2005-07-25,0
980,10898700.0,2006-01-23,0
982,11446331.0,2006-07-24,0
983,11675912.0,2006-10-23,0
984,11678580.0,2006-10-23,0
985,11911615.0,2007-01-22,0
986,12491094.0,2007-07-23,0
987,12741103.0,2007-10-22,0
988,12745582.0,2007-10-22,0
989,13069518.0,2008-01-28,0
990,13412077.0,2008-04-24,0
992,13415458.0,2008-04-24,0
993,13708227.0,2008-07-21,0
994,14361923.0,2009-01-26,0
995,2068503.0,2009-02-04,1
996,14749408.0,2009-04-23,0
997,14749545.0,2009-04-23,0
998,15428107.0,2009-10-22,0
999,15428276.0,2009-10-22,0
1000,15742029.0,2010-01-21,0
1001,15743833.0,2010-01-21,0
1002,16064230.0,2010-04-22,0
1003,16066584.0,2010-04-22,0
1004,16776224.0,2010-10-21,0
1005,17163017.0,2011-01-25,0
1006,17494367.0,2011-04-21,0
1007,17890472.0,2011-07-21,0
1008,18131064.0,2011-09-14,0
1009,18271418.0,2011-10-20,0
1010,18666264.0,2012-01-24,0
1011,20068766.0,2012-04-19,0
1012,20510339.0,2012-07-18,0
1013,20914509.0,2012-10-17,0
1014,21311694.0,2013-01-17,0
1015,21752801.0,2013-04-17,0
1016,22193245.0,2013-07-17,0
1017,22349744.0,2013-08-08,0
1018,23805539.0,2014-05-14,0
1019,24903628.0,2014-11-13,0
1020,25437451.0,2015-02-12,0
1021,25700968.0,2015-03-25,0
1022,25830735.0,2015-04-16,0
1024,28689737.0,2016-03-10,0
1025,29167235.0,2016-04-20,0
1026,29776819.0,2016-07-20,0
1027,61891317.0,2017-01-19,0
1028,62447047.0,2017-04-19,0
1030,63009479.0,2017-07-19,0
1031,63360930.0,2017-09-12,0
1032,63566357.0,2017-10-18,0
1033,64139444.0,2018-01-18,0
1034,64775525.0,2018-04-18,0
1035,64775950.0,2018-04-18,0
1036,65084450.0,2018-05-31,0
1037,65382647.0,2018-07-18,0
